"[A]자치구별","자치구별","[B]감염병별","감염병별","[C]성별","성별","[Item]항목","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년",
"001","서울시","002006","세균성이질","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002007","장출혈성대장균감염증","001001","발생","T001","법정감염병 발생현황","건","21","25","30","30","44",
"001","서울시","002007","장출혈성대장균감염증","001001001","남","T001","법정감염병 발생현황","건","","","","12","20",
"001","서울시","002007","장출혈성대장균감염증","001001002","여","T001","법정감염병 발생현황","건","","","","18","24",
"001","서울시","002007","장출혈성대장균감염증","001002","사망","T001","법정감염병 발생현황","건","-","-","1","-","-",
"001","서울시","002007","장출혈성대장균감염증","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002007","장출혈성대장균감염증","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002008","A형간염","001001","발생","T001","법정감염병 발생현황","건","809","1453","371","219","179",
"001","서울시","002008","A형간염","001001001","남","T001","법정감염병 발생현황","건","","","","123","89",
"001","서울시","002008","A형간염","001001002","여","T001","법정감염병 발생현황","건","","","","96","90",
"001","서울시","002008","A형간염","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002008","A형간염","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002008","A형간염","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002009","백일해","001001","발생","T001","법정감염병 발생현황","건","16","3","3","20","6025",
"001","서울시","002009","백일해","001001001","남","T001","법정감염병 발생현황","건","","","","6","3387",
"001","서울시","002009","백일해","001001002","여","T001","법정감염병 발생현황","건","","","","14","2638",
"001","서울시","002009","백일해","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002009","백일해","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002009","백일해","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002010","유행성이하선염","001001","발생","T001","법정감염병 발생현황","건","1214","1166","848","1063","820",
"001","서울시","002010","유행성이하선염","001001001","남","T001","법정감염병 발생현황","건","","","","609","434",
"001","서울시","002010","유행성이하선염","001001002","여","T001","법정감염병 발생현황","건","","","","454","386",
"001","서울시","002010","유행성이하선염","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002010","유행성이하선염","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002010","유행성이하선염","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002021","코로나바이러스감염증-19","001001","발생","T001","법정감염병 발생현황","건","","","5436707","1089739","",
"001","서울시","002021","코로나바이러스감염증-19","001001001","남","T001","법정감염병 발생현황","건","","","","...","",
"001","서울시","002021","코로나바이러스감염증-19","001001002","여","T001","법정감염병 발생현황","건","","","","...","",
"001","서울시","002021","코로나바이러스감염증-19","001002","사망","T001","법정감염병 발생현황","건","","","4160","595","",
"001","서울시","002021","코로나바이러스감염증-19","001002001","남","T001","법정감염병 발생현황","건","","","","...","",
"001","서울시","002021","코로나바이러스감염증-19","001002002","여","T001","법정감염병 발생현황","건","","","","...","",
"001","서울시","002017","풍진(선천성)","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002017","풍진(선천성)","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002017","풍진(선천성)","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002017","풍진(선천성)","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002017","풍진(선천성)","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002017","풍진(선천성)","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002022","풍진(후천성)","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002022","풍진(후천성)","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002022","풍진(후천성)","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002022","풍진(후천성)","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002022","풍진(후천성)","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002022","풍진(후천성)","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
