location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
South Korea,KOR,2021-10-09,69280417,39777068,30326886,4257,115549,519865,133.71,76.77,58.53,0.01,10033,29398,0.057
South Korea,KOR,2021-10-10,69301687,39780000,30345452,4330,21270,517562,133.75,76.77,58.56,0.01,9988,29300,0.057
South Korea,KOR,2021-10-11,69562629,39873357,30512174,4456,260942,521022,134.25,76.95,58.89,0.01,10055,38949,0.075
South Korea,KOR,2021-10-12,70270805,39979330,31112697,5343,708176,506369,135.62,77.16,60.04,0.01,9772,47603,0.092
South Korea,KOR,2021-10-13,70740965,40036895,31523824,6866,470160,495368,136.52,77.27,60.84,0.01,9560,50495,0.097
South Korea,KOR,2021-10-14,71255754,40091933,31981480,8763,514789,462159,137.52,77.37,61.72,0.02,8919,53062,0.102
South Korea,KOR,2021-10-15,72068245,40181492,32702257,11248,812491,414768,139.09,77.55,63.11,0.02,8005,59371,0.115
South Korea,KOR,2021-10-16,72488304,40245927,33057812,11456,420059,458270,139.9,77.67,63.8,0.02,8844,66980,0.129
South Korea,KOR,2021-10-17,72510009,40248013,33077864,11529,21705,458332,139.94,77.68,63.84,0.02,8845,66859,0.129
South Korea,KOR,2021-10-18,73214114,40320027,33708231,13153,704105,521641,141.3,77.81,65.05,0.03,10067,63810,0.123
South Korea,KOR,2021-10-19,73700953,40357596,34154924,15371,486839,490021,142.24,77.89,65.92,0.03,9457,54038,0.104
South Korea,KOR,2021-10-20,74098524,40426714,34478786,19852,397571,479651,143.0,78.02,66.54,0.04,9257,55688,0.107
South Korea,KOR,2021-10-21,74573346,40486575,34887602,25862,474822,473942,143.92,78.14,67.33,0.05,9147,56377,0.109
South Korea,KOR,2021-10-22,75279648,40552817,35521674,32249,706302,458772,145.28,78.26,68.55,0.06,8854,53046,0.102
South Korea,KOR,2021-10-23,75666369,40604504,35856026,33001,386721,454009,146.03,78.36,69.2,0.06,8762,51225,0.099
South Korea,KOR,2021-10-24,75687126,40608470,35873217,33129,20757,453874,146.07,78.37,69.23,0.06,8759,51494,0.099
South Korea,KOR,2021-10-25,76208196,40687033,36306477,42499,521070,427726,147.08,78.52,70.07,0.08,8255,52429,0.101
South Korea,KOR,2021-10-26,76543879,40728319,36587757,55806,335683,406132,147.72,78.6,70.61,0.11,7838,52960,0.102
South Korea,KOR,2021-10-27,76893980,40806066,36846500,69468,350101,399351,148.4,78.75,71.11,0.13,7707,54193,0.105
South Korea,KOR,2021-10-28,77591156,40869357,37470001,79473,697176,431116,149.74,78.87,72.31,0.15,8320,54683,0.106
South Korea,KOR,2021-10-29,78364646,40930108,38172008,90127,773490,440714,151.24,78.99,73.67,0.17,8505,53899,0.104
South Korea,KOR,2021-10-30,78763647,40966770,38530759,93749,399001,442468,152.01,79.06,74.36,0.18,8539,51752,0.1
South Korea,KOR,2021-10-31,78788341,40969846,38552271,94124,24694,443031,152.05,79.07,74.4,0.18,8550,51625,0.1
South Korea,KOR,2021-11-01,79026172,41053162,38671843,129134,237831,402568,152.51,79.23,74.63,0.25,7769,52304,0.101
South Korea,KOR,2021-11-02,79214197,41095859,38759715,186373,188025,381474,152.88,79.31,74.8,0.36,7362,52506,0.101
South Korea,KOR,2021-11-03,79413708,41160992,38836118,244394,199511,359961,153.26,79.44,74.95,0.47,6947,50704,0.098
South Korea,KOR,2021-11-04,79644639,41221776,38960732,290060,230931,293355,153.71,79.55,75.19,0.56,5661,50346,0.097
South Korea,KOR,2021-11-05,79938394,41293410,39123672,349249,293755,224821,154.27,79.69,75.51,0.67,4339,51900,0.1
South Korea,KOR,2021-11-06,80069847,41339037,39186957,371837,131453,186600,154.53,79.78,75.63,0.72,3601,53181,0.103
South Korea,KOR,2021-11-07,80077421,41341315,39191526,372686,7574,184154,154.54,79.79,75.64,0.72,3554,53067,0.102
South Korea,KOR,2021-11-08,80543603,41458266,39355430,557728,466182,216776,155.44,80.01,75.95,1.08,4184,57872,0.112
South Korea,KOR,2021-11-09,80818008,41504452,39481213,659425,274405,229116,155.97,80.1,76.2,1.27,4422,58370,0.113
South Korea,KOR,2021-11-10,81091179,41573362,39588722,755911,273171,239639,156.5,80.23,76.4,1.46,4625,58910,0.114
South Korea,KOR,2021-11-11,81373671,41637867,39697656,864768,282492,247005,157.04,80.36,76.61,1.67,4767,59442,0.115
South Korea,KOR,2021-11-12,81747715,41716586,39847392,1010138,374044,258474,157.77,80.51,76.9,1.95,4988,60454,0.117
South Korea,KOR,2021-11-13,81955965,41772175,39948743,1061303,208250,269445,158.17,80.62,77.1,2.05,5200,61877,0.119
South Korea,KOR,2021-11-14,81964211,41774591,39952201,1063730,8246,269541,158.18,80.62,77.1,2.05,5202,61897,0.119
South Korea,KOR,2021-11-15,82281530,41837082,40041209,1229352,317319,248275,158.8,80.74,77.28,2.37,4791,54117,0.104
South Korea,KOR,2021-11-16,82505734,41871054,40089089,1371651,224204,241104,159.23,80.81,77.37,2.65,4653,52372,0.101
South Korea,KOR,2021-11-17,82754993,41916939,40156127,1507907,249259,237688,159.71,80.9,77.5,2.91,4587,49082,0.095
South Korea,KOR,2021-11-18,82993107,41962258,40217016,1639645,238114,231348,160.17,80.98,77.62,3.16,4465,46342,0.089
South Korea,KOR,2021-11-19,83277826,42012227,40295021,1796229,284719,218587,160.72,81.08,77.77,3.47,4219,42234,0.082
South Korea,KOR,2021-11-20,83386937,42039419,40334262,1838901,109111,204425,160.93,81.13,77.84,3.55,3945,38178,0.074
South Korea,KOR,2021-11-21,83392990,42040913,40336629,1841176,6053,204111,160.94,81.14,77.85,3.55,3939,38046,0.073
South Korea,KOR,2021-11-22,83682400,42090465,40424976,1992510,289410,200124,161.5,81.23,78.02,3.85,3862,36198,0.07
South Korea,KOR,2021-11-23,83902615,42119104,40469198,2139585,220215,199554,161.92,81.29,78.1,4.13,3851,35436,0.068
South Korea,KOR,2021-11-24,84173444,42166166,40530973,2301249,270829,202636,162.45,81.38,78.22,4.44,3911,35604,0.069
South Korea,KOR,2021-11-25,84495959,42214503,40598550,2507398,322515,214693,163.07,81.47,78.35,4.84,4143,36035,0.07
South Korea,KOR,2021-11-26,84938824,42270631,40686472,2805731,442865,237285,163.92,81.58,78.52,5.41,4579,36915,0.071
South Korea,KOR,2021-11-27,85090749,42303306,40732659,2878745,151925,243402,164.22,81.64,78.61,5.56,4697,37698,0.073
South Korea,KOR,2021-11-28,85096784,42304372,40734764,2881669,6035,243399,164.23,81.64,78.61,5.56,4697,37637,0.073
South Korea,KOR,2021-11-29,85417132,42335496,40841381,3063916,320348,247819,164.85,81.7,78.82,5.91,4783,35004,0.068
South Korea,KOR,2021-11-30,85680781,42357426,40890662,3256073,263649,254024,165.36,81.75,78.92,6.28,4902,34046,0.066
South Korea,KOR,2021-12-01,85935557,42381460,40956788,3420388,254776,251730,165.85,81.79,79.04,6.6,4858,30756,0.059
South Korea,KOR,2021-12-02,86204422,42404256,41018022,3604865,268865,244066,166.37,81.84,79.16,6.96,4710,27108,0.052
South Korea,KOR,2021-12-03,86613779,42438724,41109441,3888053,409357,239279,167.16,81.9,79.34,7.5,4618,24013,0.046
South Korea,KOR,2021-12-04,86786567,42460424,41162914,3985621,172788,242260,167.49,81.94,79.44,7.69,4675,22445,0.043
South Korea,KOR,2021-12-05,86794544,42462228,41165058,3989696,7977,242537,167.51,81.95,79.44,7.7,4681,22551,0.044
South Korea,KOR,2021-12-06,87204119,42514766,41231588,4279947,409575,255284,168.3,82.05,79.57,8.26,4927,25610,0.049
South Korea,KOR,2021-12-07,87581272,42552762,41274057,4576139,377153,271499,169.02,82.12,79.66,8.83,5240,27905,0.054
South Korea,KOR,2021-12-08,87987179,42598750,41326195,4883436,405907,293089,169.81,82.21,79.76,9.42,5656,31041,0.06
South Korea,KOR,2021-12-09,88538276,42644224,41381657,5333148,551097,333408,170.87,82.3,79.86,10.29,6434,34281,0.066
South Korea,KOR,2021-12-10,89440726,42695910,41457461,6107689,902450,403850,172.61,82.4,80.01,11.79,7794,36741,0.071
South Korea,KOR,2021-12-11,89782676,42722160,41492336,6388479,341950,428016,173.27,82.45,80.08,12.33,8260,37391,0.072
South Korea,KOR,2021-12-12,89795330,42724302,41493938,6397404,12654,428684,173.3,82.45,80.08,12.35,8273,37439,0.072
South Korea,KOR,2021-12-13,90725476,42801425,41557356,7186645,930146,503051,175.09,82.6,80.2,13.87,9708,40951,0.079
South Korea,KOR,2021-12-14,91634741,42856613,41601424,7995973,909265,579067,176.85,82.71,80.29,15.43,11175,43407,0.084
South Korea,KOR,2021-12-15,92715914,42944537,41659531,8930453,1081173,675534,178.93,82.88,80.4,17.23,13037,49398,0.095
South Korea,KOR,2021-12-16,93799034,43042655,41721654,9852645,1083120,751537,181.02,83.07,80.52,19.01,14504,56919,0.11
South Korea,KOR,2021-12-17,95181076,43150395,41802277,11045664,1382042,820050,183.69,83.28,80.67,21.32,15826,64926,0.125
South Korea,KOR,2021-12-18,95825383,43219962,41843116,11579430,644307,863244,184.93,83.41,80.75,22.35,16660,71115,0.137
South Korea,KOR,2021-12-19,95863664,43226028,41845014,11609760,38281,866905,185.01,83.42,80.76,22.41,16731,71675,0.138
South Korea,KOR,2021-12-20,96892614,43347723,41898455,12462853,1028950,881020,186.99,83.66,80.86,24.05,17003,78043,0.151
South Korea,KOR,2021-12-21,97703749,43422452,41936485,13160426,811135,867001,188.56,83.8,80.93,25.4,16732,80834,0.156
South Korea,KOR,2021-12-22,98459943,43513200,41975536,13785975,756194,820576,190.02,83.98,81.01,26.61,15836,81238,0.157
South Korea,KOR,2021-12-23,99176648,43593507,42009942,14387159,716705,768231,191.4,84.13,81.08,27.77,14826,78693,0.152
South Korea,KOR,2021-12-24,100101741,43672707,42053397,15189000,925093,702952,193.19,84.28,81.16,29.31,13566,74616,0.144
South Korea,KOR,2021-12-25,100177829,43682973,42058504,15249696,76088,621778,193.33,84.3,81.17,29.43,12000,66144,0.128
South Korea,KOR,2021-12-26,100208937,43686506,42060291,15275483,31108,620753,193.39,84.31,81.17,29.48,11980,65783,0.127
South Korea,KOR,2021-12-27,101114741,43762651,42125057,16039816,905804,603161,195.14,84.46,81.3,30.96,11640,59275,0.114
South Korea,KOR,2021-12-28,101826096,43808606,42168498,16660882,711355,588907,196.52,84.55,81.38,32.15,11365,55165,0.106
South Korea,KOR,2021-12-29,102462212,43857832,42214835,17200712,636116,571753,197.74,84.64,81.47,33.2,11034,49233,0.095
South Korea,KOR,2021-12-30,103104759,43904987,42260816,17749439,642547,561159,198.98,84.73,81.56,34.25,10830,44497,0.086
South Korea,KOR,2021-12-31,103955630,43958869,42319015,18487659,850871,550556,200.63,84.84,81.67,35.68,10625,40880,0.079
South Korea,KOR,2022-01-01,103999524,43963149,42323989,18522299,43894,545956,200.71,84.85,81.68,35.75,10536,40025,0.077
South Korea,KOR,2022-01-02,104021841,43965267,42326464,18540027,22317,544701,200.75,84.85,81.69,35.78,10512,39823,0.077
South Korea,KOR,2022-01-03,104632345,44005708,42405697,19030374,610504,502515,201.93,84.93,81.84,36.73,9698,34722,0.067
South Korea,KOR,2022-01-04,105081854,44032365,42460668,19397581,449509,465108,202.8,84.98,81.95,37.44,8976,31966,0.062
South Korea,KOR,2022-01-05,105514132,44053322,42536215,19732700,432278,435989,203.63,85.02,82.09,38.08,8414,27927,0.054
South Korea,KOR,2022-01-06,106002930,44073008,42621143,20116212,488798,414024,204.58,85.06,82.26,38.82,7990,24003,0.046
South Korea,KOR,2022-01-07,106736986,44099110,42728289,20716363,734056,397337,205.99,85.11,82.46,39.98,7668,20034,0.039
South Korea,KOR,2022-01-08,107172073,44115418,42799020,21064252,435087,453221,206.83,85.14,82.6,40.65,8747,21753,0.042
South Korea,KOR,2022-01-09,107194291,44116535,42803792,21080590,22218,453207,206.88,85.14,82.61,40.68,8747,21610,0.042
South Korea,KOR,2022-01-10,107773460,44141351,42913089,21525018,579169,448731,207.99,85.19,82.82,41.54,8660,19378,0.037
South Korea,KOR,2022-01-11,108211524,44161455,42985978,21869294,438064,447096,208.84,85.23,82.96,42.21,8629,18441,0.036
South Korea,KOR,2022-01-12,108593506,44177746,43066488,22153754,381982,439911,209.58,85.26,83.11,42.75,8490,17775,0.034
South Korea,KOR,2022-01-13,109031042,44193929,43143191,22497818,437536,432587,210.42,85.29,83.26,43.42,8349,17274,0.033
South Korea,KOR,2022-01-14,109726433,44216406,43233900,23079401,695391,427064,211.76,85.33,83.44,44.54,8242,16757,0.032
South Korea,KOR,2022-01-15,110075775,44229507,43263224,23386235,349342,414815,212.44,85.36,83.49,45.13,8006,16298,0.031
South Korea,KOR,2022-01-16,110097281,44230298,43266675,23403505,21506,414713,212.48,85.36,83.5,45.17,8004,16252,0.031
South Korea,KOR,2022-01-17,110571617,44246251,43337704,23790447,474336,399737,213.39,85.39,83.64,45.91,7715,14986,0.029
South Korea,KOR,2022-01-18,110893932,44258298,43383944,24053951,322315,383201,214.02,85.41,83.73,46.42,7395,13835,0.027
South Korea,KOR,2022-01-19,111165960,44268332,43428821,24270572,272028,367493,214.54,85.43,83.81,46.84,7092,12941,0.025
South Korea,KOR,2022-01-20,111503807,44278718,43473226,24553189,337847,353252,215.19,85.45,83.9,47.39,6817,12113,0.023
South Korea,KOR,2022-01-21,112048693,44294025,43531970,25023628,544886,331751,216.24,85.48,84.01,48.29,6403,11088,0.021
South Korea,KOR,2022-01-22,112335367,44303398,43549969,25282883,286674,322799,216.8,85.5,84.05,48.79,6230,10556,0.02
South Korea,KOR,2022-01-23,112351977,44304009,43551942,25296916,16610,322099,216.83,85.5,84.05,48.82,6216,10530,0.02
South Korea,KOR,2022-01-24,112703330,44315632,43592453,25595802,351353,304530,217.51,85.53,84.13,49.4,5877,9912,0.019
South Korea,KOR,2022-01-25,112986890,44324755,43621531,25840723,283560,298994,218.05,85.54,84.19,49.87,5770,9494,0.018
South Korea,KOR,2022-01-26,113276982,44333245,43645971,26097529,290092,301575,218.61,85.56,84.23,50.37,5820,9273,0.018
South Korea,KOR,2022-01-27,113627826,44342337,43670941,26413996,350844,303431,219.29,85.58,84.28,50.98,5856,9088,0.018
South Korea,KOR,2022-01-28,114184464,44355673,43707976,26919994,556638,305110,220.37,85.6,84.35,51.95,5888,8807,0.017
South Korea,KOR,2022-01-29,114556010,44363803,43730490,27260844,371546,317235,221.08,85.62,84.4,52.61,6122,8629,0.017
South Korea,KOR,2022-01-30,114583047,44364469,43731890,27285819,27037,318724,221.14,85.62,84.4,52.66,6151,8637,0.017
South Korea,KOR,2022-01-31,114604100,44365083,43732899,27305254,21053,271539,221.18,85.62,84.4,52.7,5240,7064,0.014
South Korea,KOR,2022-02-01,114607423,44365186,43733104,27308279,3323,231505,221.18,85.62,84.4,52.7,4468,5776,0.011
South Korea,KOR,2022-02-02,114621448,44365703,43733972,27320926,14025,192067,221.21,85.62,84.4,52.73,3707,4637,0.009
South Korea,KOR,2022-02-03,115015673,44378056,43786376,27649933,394225,198264,221.97,85.65,84.5,53.36,3826,5103,0.01
South Korea,KOR,2022-02-04,115423645,44390550,43821838,28009684,407972,177026,222.76,85.67,84.57,54.06,3416,4982,0.01
South Korea,KOR,2022-02-05,115653749,44397834,43839883,28214401,230104,156820,223.2,85.68,84.61,54.45,3026,4862,0.009
South Korea,KOR,2022-02-06,115667255,44398293,43840854,28226483,13506,154887,223.23,85.68,84.61,54.47,2989,4832,0.009
South Korea,KOR,2022-02-07,115944983,44406474,43863171,28473518,277728,191555,223.76,85.7,84.65,54.95,3697,5913,0.011
South Korea,KOR,2022-02-08,116130714,44412254,43879154,28637219,185731,217613,224.12,85.71,84.68,55.27,4200,6724,0.013
South Korea,KOR,2022-02-09,116296209,44417439,43892005,28784464,165495,239252,224.44,85.72,84.71,55.55,4617,7391,0.014
South Korea,KOR,2022-02-10,116522220,44423326,43905805,28990575,226011,215221,224.88,85.73,84.73,55.95,4154,6467,0.012
South Korea,KOR,2022-02-11,116858228,44431626,43925427,29298491,336008,204940,225.53,85.75,84.77,56.54,3955,5868,0.011
South Korea,KOR,2022-02-12,117045956,44437393,43937661,29468180,187728,198887,225.89,85.76,84.8,56.87,3838,5651,0.011
South Korea,KOR,2022-02-13,117055996,44437767,43938277,29477237,10040,198392,225.91,85.76,84.8,56.89,3829,5639,0.011
South Korea,KOR,2022-02-14,117274377,44448164,43951848,29671476,218381,189913,226.33,85.78,84.82,57.26,3665,5956,0.011
South Korea,KOR,2022-02-15,117434804,44457883,43962464,29811274,160427,186299,226.64,85.8,84.84,57.53,3595,6518,0.013
South Korea,KOR,2022-02-16,117583121,44467055,43972005,29940633,148317,183845,226.93,85.82,84.86,57.78,3548,7088,0.014
South Korea,KOR,2022-02-17,117772410,44476134,43981962,30110617,189289,178599,227.29,85.84,84.88,58.11,3447,7544,0.015
South Korea,KOR,2022-02-18,118048602,44487626,43997204,30359901,276192,170053,227.82,85.86,84.91,58.59,3282,8000,0.015
South Korea,KOR,2022-02-19,118200538,44493875,44006722,30496029,151936,164940,228.12,85.87,84.93,58.85,3183,8069,0.016
South Korea,KOR,2022-02-20,118209762,44494242,44007313,30504297,9224,164824,228.13,85.87,84.93,58.87,3181,8068,0.016
South Korea,KOR,2022-02-21,118385931,44502345,44012839,30666698,176169,158793,228.47,85.89,84.94,59.18,3065,7740,0.015
South Korea,KOR,2022-02-22,118512030,44508602,44016748,30782462,126099,153889,228.72,85.9,84.95,59.41,2970,7246,0.014
South Korea,KOR,2022-02-23,118633336,44514336,44020376,30894228,121306,150031,228.95,85.91,84.96,59.62,2895,6754,0.013
South Korea,KOR,2022-02-24,118800973,44520556,44030741,31045082,167637,146938,229.28,85.92,84.98,59.91,2836,6346,0.012
South Korea,KOR,2022-02-25,119055795,44529444,44044604,31276983,254822,143885,229.77,85.94,85.0,60.36,2777,5974,0.012
South Korea,KOR,2022-02-26,119189513,44534372,44053088,31397261,133718,141282,230.03,85.95,85.02,60.59,2727,5785,0.011
South Korea,KOR,2022-02-27,119196404,44534605,44053550,31403460,6891,140949,230.04,85.95,85.02,60.61,2720,5766,0.011
South Korea,KOR,2022-02-28,119359992,44540227,44061824,31553046,163588,139152,230.35,85.96,85.04,60.89,2686,5412,0.01
South Korea,KOR,2022-03-01,119365836,44540441,44062195,31558311,5844,121972,230.37,85.96,85.04,60.9,2354,4548,0.009
South Korea,KOR,2022-03-02,119449189,44542636,44066515,31635023,83353,116550,230.53,85.96,85.04,61.05,2249,4043,0.008
South Korea,KOR,2022-03-03,119534911,44544578,44070737,31714456,85722,104848,230.69,85.97,85.05,61.21,2023,3432,0.007
South Korea,KOR,2022-03-04,119665902,44548039,44078412,31834202,130991,87158,230.94,85.97,85.07,61.44,1682,2656,0.005
South Korea,KOR,2022-03-05,119728843,44550338,44084038,31889203,62941,77047,231.07,85.98,85.08,61.54,1487,2281,0.004
South Korea,KOR,2022-03-06,119730949,44550421,44084242,31891026,2106,76364,231.07,85.98,85.08,61.55,1474,2259,0.004
South Korea,KOR,2022-03-07,119822697,44558171,44090067,31968994,91748,66101,231.25,85.99,85.09,61.7,1276,2563,0.005
South Korea,KOR,2022-03-08,119891020,44563962,44095211,32026190,68323,75026,231.38,86.0,85.1,61.81,1448,3360,0.006
South Korea,KOR,2022-03-09,119902444,44565038,44096485,32035254,11424,64751,231.4,86.01,85.1,61.83,1250,3200,0.006
South Korea,KOR,2022-03-10,119993035,44570123,44102818,32114221,90591,65446,231.58,86.02,85.11,61.98,1263,3649,0.007
South Korea,KOR,2022-03-11,120120935,44578926,44116681,32219187,127900,65005,231.82,86.03,85.14,62.18,1255,4412,0.009
South Korea,KOR,2022-03-12,120168327,44582914,44122079,32257155,47392,62783,231.91,86.04,85.15,62.25,1212,4654,0.009
South Korea,KOR,2022-03-13,120169348,44582998,44122189,32257985,1021,62628,231.92,86.04,85.15,62.26,1209,4654,0.009
South Korea,KOR,2022-03-14,120238133,44586655,44127067,32318129,68785,59348,232.05,86.05,85.16,62.37,1145,4069,0.008
South Korea,KOR,2022-03-15,120292107,44589095,44130367,32366228,53974,57298,232.15,86.05,85.17,62.46,1106,3590,0.007
South Korea,KOR,2022-03-16,120345958,44591282,44132787,32415334,53851,63359,232.26,86.06,85.17,62.56,1223,3749,0.007
South Korea,KOR,2022-03-17,120411363,44593772,44135489,32475435,65405,59761,232.38,86.06,85.18,62.67,1153,3378,0.007
South Korea,KOR,2022-03-18,120514921,44598467,44141116,32568535,103558,56284,232.58,86.07,85.19,62.85,1086,2792,0.005
South Korea,KOR,2022-03-19,120551578,44600548,44143048,32601162,36657,54750,232.65,86.08,85.19,62.92,1057,2519,0.005
South Korea,KOR,2022-03-20,120552268,44600577,44143087,32601788,690,54703,232.66,86.08,85.19,62.92,1056,2511,0.005
South Korea,KOR,2022-03-21,120613739,44602826,44145379,32658652,61471,53658,232.77,86.08,85.2,63.03,1036,2310,0.004
South Korea,KOR,2022-03-22,120657578,44604622,44146610,32699388,43839,52210,232.86,86.08,85.2,63.11,1008,2218,0.004
South Korea,KOR,2022-03-23,120704029,44606108,44147860,32743007,46451,51153,232.95,86.09,85.2,63.19,987,2118,0.004
South Korea,KOR,2022-03-24,120757863,44607867,44149384,32793490,53834,49500,233.05,86.09,85.2,63.29,955,2014,0.004
South Korea,KOR,2022-03-25,120842905,44611067,44152225,32872414,85042,46855,233.22,86.1,85.21,63.44,904,1800,0.003
South Korea,KOR,2022-03-26,120882266,44612586,44153341,32909133,39361,47241,233.29,86.1,85.21,63.51,912,1720,0.003
South Korea,KOR,2022-03-27,120882941,44612616,44153377,32909745,675,47239,233.29,86.1,85.21,63.51,912,1720,0.003
South Korea,KOR,2022-03-28,120932449,44614250,44158486,32952427,49508,45530,233.39,86.1,85.22,63.6,879,1632,0.003
South Korea,KOR,2022-03-29,120964813,44615573,44162206,32979669,32364,43891,233.45,86.1,85.23,63.65,847,1564,0.003
South Korea,KOR,2022-03-30,121000487,44616744,44163471,33012877,35674,42351,233.52,86.11,85.23,63.71,817,1519,0.003
South Korea,KOR,2022-03-31,121046205,44621322,44166813,33050614,45718,41192,233.61,86.12,85.24,63.78,795,1922,0.004
South Korea,KOR,2022-04-01,121110760,44632426,44172745,33098029,64555,38265,233.73,86.14,85.25,63.88,738,3051,0.006
South Korea,KOR,2022-04-02,121139934,44638604,44175123,33118631,29174,36810,233.79,86.15,85.25,63.92,710,3717,0.007
South Korea,KOR,2022-04-03,121140365,44638665,44175172,33118957,431,36775,233.79,86.15,85.25,63.92,710,3721,0.007
South Korea,KOR,2022-04-04,121171186,44641544,44177812,33144228,30821,34105,233.85,86.15,85.26,63.97,658,3899,0.008
South Korea,KOR,2022-04-05,121191526,44643486,44179653,33160727,20340,32388,233.89,86.16,85.26,64.0,625,3988,0.008
South Korea,KOR,2022-04-06,121217180,44645713,44181271,33182469,25654,30956,233.94,86.16,85.27,64.04,597,4138,0.008
South Korea,KOR,2022-04-07,121247282,44648237,44183171,33208111,30102,28725,234.0,86.17,85.27,64.09,554,3845,0.007
South Korea,KOR,2022-04-08,121298528,44656248,44187073,33247374,51246,26824,234.1,86.18,85.28,64.16,518,3403,0.007
South Korea,KOR,2022-04-09,121317181,44659782,44188410,33261143,18653,25321,234.13,86.19,85.28,64.19,489,3025,0.006
South Korea,KOR,2022-04-10,121317458,44659813,44188433,33261367,277,25299,234.13,86.19,85.28,64.19,488,3021,0.006
South Korea,KOR,2022-04-11,121336674,44661116,44190066,33277634,19216,23641,234.17,86.19,85.28,64.22,456,2796,0.005
South Korea,KOR,2022-04-12,121351609,44662255,44191372,33290096,14935,22869,234.2,86.19,85.29,64.25,441,2681,0.005
South Korea,KOR,2022-04-13,121372338,44663832,44192652,33307934,20729,22165,234.24,86.2,85.29,64.28,428,2588,0.005
South Korea,KOR,2022-04-14,121422535,44665277,44194205,33355113,50197,25036,234.33,86.2,85.29,64.37,483,2434,0.005
South Korea,KOR,2022-04-15,121524960,44670823,44197404,33448742,102425,32347,234.53,86.21,85.3,64.55,624,2082,0.004
South Korea,KOR,2022-04-16,121552464,44672604,44198616,33473247,27504,33612,234.59,86.21,85.3,64.6,649,1832,0.004
South Korea,KOR,2022-04-17,121552835,44672632,44198642,33473565,371,33625,234.59,86.21,85.3,64.6,649,1831,0.004
South Korea,KOR,2022-04-18,121614970,44673424,44199631,33533894,62135,39757,234.71,86.22,85.3,64.72,767,1758,0.003
South Korea,KOR,2022-04-19,121679077,44674124,44200546,33596346,64107,46781,234.83,86.22,85.3,64.84,903,1696,0.003
South Korea,KOR,2022-04-20,121754464,44675170,44201662,33669530,75387,54589,234.98,86.22,85.31,64.98,1054,1620,0.003
South Korea,KOR,2022-04-21,121826856,44676315,44203123,33739286,72392,57760,235.12,86.22,85.31,65.11,1115,1577,0.003
South Korea,KOR,2022-04-22,121983220,44680116,44207099,33887823,156364,65466,235.42,86.23,85.32,65.4,1263,1328,0.003
South Korea,KOR,2022-04-23,122024058,44681456,44208432,33925995,40838,67371,235.5,86.23,85.32,65.47,1300,1265,0.002
South Korea,KOR,2022-04-24,122024678,44681481,44208463,33926561,620,67406,235.5,86.23,85.32,65.48,1301,1264,0.002
South Korea,KOR,2022-04-25,122235107,44682357,44209685,34134855,210429,88591,235.9,86.23,85.32,65.88,1710,1276,0.002
South Korea,KOR,2022-04-26,122460046,44683248,44210697,34357830,224939,111567,236.34,86.23,85.32,66.31,2153,1303,0.003
South Korea,KOR,2022-04-27,122690807,44684282,44211799,34586390,230761,133763,236.78,86.24,85.32,66.75,2582,1302,0.003
South Korea,KOR,2022-04-28,122903153,44685338,44213129,34796289,212346,153757,237.19,86.24,85.33,67.15,2967,1289,0.002
South Korea,KOR,2022-04-29,123298346,44688237,44216376,35185298,395193,187875,237.96,86.24,85.33,67.9,3626,1160,0.002
South Korea,KOR,2022-04-30,123381965,44689509,44217517,35266509,83619,193987,238.12,86.25,85.34,68.06,3744,1150,0.002
South Korea,KOR,2022-05-01,123383182,44689524,44217537,35267694,1217,194072,238.12,86.25,85.34,68.06,3745,1149,0.002
South Korea,KOR,2022-05-02,123550345,44690354,44218485,35433048,167163,187891,238.44,86.25,85.34,68.38,3626,1142,0.002
South Korea,KOR,2022-05-03,123732090,44691084,44219427,35613061,181745,181721,238.79,86.25,85.34,68.73,3507,1119,0.002
South Korea,KOR,2022-05-04,123894587,44691977,44220350,35773694,162497,171969,239.11,86.25,85.34,69.04,3319,1099,0.002
South Korea,KOR,2022-05-05,123898312,44692037,44220417,35777297,3725,142166,239.11,86.25,85.34,69.05,2744,957,0.002
South Korea,KOR,2022-05-06,124153282,44694016,44222979,36027678,254970,122134,239.61,86.26,85.35,69.53,2357,826,0.002
South Korea,KOR,2022-05-07,124203394,44694622,44223743,36076418,50112,117347,239.7,86.26,85.35,69.62,2265,730,0.001
South Korea,KOR,2022-05-08,124204059,44694637,44223760,36077053,665,117268,239.7,86.26,85.35,69.63,2263,730,0.001
South Korea,KOR,2022-05-09,124311759,44695348,44224660,36183137,107700,108773,239.91,86.26,85.35,69.83,2099,713,0.001
South Korea,KOR,2022-05-10,124439411,44695947,44225471,36309336,127652,101046,240.16,86.26,85.35,70.07,1950,695,0.001
South Korea,KOR,2022-05-11,124546697,44696542,44226365,36415105,107286,93159,240.36,86.26,85.35,70.28,1798,652,0.001
